"agent_id","agent_file","agent_title","mode","target","status","prompt_path","files_inspected","files_changed","verification","notes"
"10","10-misconception-analyst.md","10-misconception-analyst","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\10-misconception-analyst.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/10-misconception-analyst.md"
"11","11-fact-integrity.md","11-fact-integrity","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\11-fact-integrity.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/11-fact-integrity.md"
"12","12-terminology-keeper.md","12-terminology-keeper","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\12-terminology-keeper.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/12-terminology-keeper.md"
"13","13-cross-reference.md","13-cross-reference","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\13-cross-reference.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/13-cross-reference.md"
"14","14-narrative-continuity.md","14-narrative-continuity","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\14-narrative-continuity.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/14-narrative-continuity.md"
"15","15-style-voice.md","15-style-voice","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\15-style-voice.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/15-style-voice.md"
"16","16-engagement-designer.md","16-engagement-designer","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\16-engagement-designer.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/16-engagement-designer.md"
"17","17-senior-editor.md","17-senior-editor","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\17-senior-editor.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/17-senior-editor.md"
"18","18-research-scientist.md","18-research-scientist","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\18-research-scientist.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/18-research-scientist.md"
"19","19-structural-architect.md","19-structural-architect","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\19-structural-architect.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/19-structural-architect.md"
"20","20-content-update-scout.md","20-content-update-scout","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\20-content-update-scout.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/20-content-update-scout.md"
"21","21-self-containment-verifier.md","21-self-containment-verifier","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\21-self-containment-verifier.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/21-self-containment-verifier.md"
"22","22-opening-hook-designer.md","22-opening-hook-designer","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\22-opening-hook-designer.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/22-opening-hook-designer.md"
"23","23-project-catalyst.md","23-project-catalyst","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\23-project-catalyst.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/23-project-catalyst.md"
"24","24-aha-moment-engineer.md","24-aha-moment-engineer","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\24-aha-moment-engineer.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/24-aha-moment-engineer.md"
"25","25-visual-identity-director.md","25-visual-identity-director","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\25-visual-identity-director.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/25-visual-identity-director.md"
"26","26-demo-simulation-designer.md","26-demo-simulation-designer","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\26-demo-simulation-designer.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/26-demo-simulation-designer.md"
"27","27-memorability-designer.md","27-memorability-designer","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\27-memorability-designer.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/27-memorability-designer.md"
"28","28-skeptical-reader.md","28-skeptical-reader","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\28-skeptical-reader.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/28-skeptical-reader.md"
"29","29-prose-clarity-editor.md","29-prose-clarity-editor","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\29-prose-clarity-editor.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/29-prose-clarity-editor.md"
"30","30-readability-pacing-editor.md","30-readability-pacing-editor","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\30-readability-pacing-editor.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/30-readability-pacing-editor.md"
"31","31-illustrator.md","31-illustrator","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\31-illustrator.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/31-illustrator.md"
"32","32-epigraph-writer.md","32-epigraph-writer","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\32-epigraph-writer.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/32-epigraph-writer.md"
"33","33-application-example.md","33-application-example","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\33-application-example.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/33-application-example.md"
"34","34-fun-injector.md","34-fun-injector","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\34-fun-injector.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/34-fun-injector.md"
"35","35-bibliography.md","35-bibliography","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\35-bibliography.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/35-bibliography.md"
"36","36-meta-agent.md","36-meta-agent","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\36-meta-agent.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/36-meta-agent.md"
"37","37-controller.md","37-controller","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\37-controller.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/37-controller.md"
"38","38-publication-qa.md","38-publication-qa","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\38-publication-qa.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/38-publication-qa.md"
"39","39-figure-fact-checker.md","39-figure-fact-checker","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\39-figure-fact-checker.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/39-figure-fact-checker.md"
"40","40-code-caption-agent.md","40-code-caption-agent","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\40-code-caption-agent.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/40-code-caption-agent.md"
"41","41-lab-designer.md","41-lab-designer","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\41-lab-designer.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/41-lab-designer.md"
